effects,name,pageUrl
Happy; Relaxed; Hungry; Euphoric; Uplifted,Cherry OG,https://www.leafly.com/hybrid/cherry-og
Relaxed; Happy; Euphoric; Uplifted; Creative,Cherry Pie,https://www.leafly.com/hybrid/cherry-pie
Happy; Euphoric; Giggly; Relaxed; Creative,Cherry Skunk,https://www.leafly.com/hybrid/cherry-skunk
Relaxed; Euphoric; Creative; Happy; Focused,Chiesel,https://www.leafly.com/hybrid/chiesel
Relaxed; Euphoric; Uplifted; Happy; Hungry,Chocolope Kush,https://www.leafly.com/hybrid/chocolate-kush
Relaxed; Happy; Uplifted; Energetic; Euphoric,Chong Star,https://www.leafly.com/hybrid/chong-star
Happy; Giggly; Euphoric; Talkative; Uplifted,Chronic,https://www.leafly.com/hybrid/chronic
Dry Mouth; Giggly; Happy; Aroused; Creative,Chucky's Bride,https://www.leafly.com/hybrid/chuckys-bride
Happy; Uplifted; Euphoric; Relaxed; Energetic,Cinderella 99,https://www.leafly.com/hybrid/cinderella-99
Happy; Energetic; Uplifted; Euphoric; Focused,Cinderella's Dream,https://www.leafly.com/hybrid/cinderellas-dream
Uplifted; Energetic; Talkative; Euphoric; Hungry,Cindy White,https://www.leafly.com/hybrid/cindy-white
Happy; Uplifted; Focused; Euphoric; Creative,Citrix,https://www.leafly.com/hybrid/citrix
Happy; Relaxed; Euphoric; Giggly; Uplifted,Citrus Kush,https://www.leafly.com/hybrid/citrus-kush
Euphoric; Relaxed; Dizzy; Giggly; Focused,Cluster Bomb,https://www.leafly.com/hybrid/cluster-bomb
Uplifted; Happy; Creative; Euphoric; Relaxed,Cold Creek Kush,https://www.leafly.com/hybrid/cold-creek-kush
Euphoric; Focused; Dry Eyes; Energetic; Happy,Colorado Chem,https://www.leafly.com/hybrid/colorado-chem
Relaxed; Happy; Euphoric; Focused; Uplifted,Connie Chung,https://www.leafly.com/hybrid/connie-chung
Relaxed; Euphoric; Happy; Sleepy; Hungry,Cookie Monster,https://www.leafly.com/hybrid/cookie-monster
Euphoric; Relaxed; Happy; Focused; Energetic,Cookie Wreck,https://www.leafly.com/hybrid/cookie-wreck
Happy; Relaxed; Euphoric; Uplifted; Creative,Cookies and Cream,https://www.leafly.com/hybrid/cookies-and-cream
Relaxed; Euphoric; Happy; Uplifted; Creative,Cotton Candy Kush,https://www.leafly.com/hybrid/cotton-candy-kush
Relaxed; Euphoric; Happy; Uplifted; Creative,Cotton Purple Chem,https://www.leafly.com/hybrid/cotton-purple-chem
Happy; Relaxed; Euphoric; Focused; Uplifted,Crater Lake,https://www.leafly.com/hybrid/crater-lake
Euphoric; Relaxed; Tingly; Energetic; Uplifted,Crazy Miss Hyde,https://www.leafly.com/hybrid/crazy-miss-hyde
Uplifted; Sleepy; Relaxed; Dry Eyes; Euphoric,Crimea Blue,https://www.leafly.com/hybrid/crimea-blue
Happy; Giggly; Relaxed; Talkative; Euphoric,Critical 47,https://www.leafly.com/hybrid/critical-47
Relaxed; Happy; Euphoric; Uplifted; Creative,Critical Bilbo,https://www.leafly.com/hybrid/critical-bilbo
Happy; Energetic; Talkative; Euphoric; Relaxed,Critical Cheese,https://www.leafly.com/hybrid/critical-cheese
Relaxed; Happy; Euphoric; Uplifted; Focused,Critical Haze,https://www.leafly.com/hybrid/critical-haze
Uplifted; Focused; Euphoric; Happy; Relaxed,Critical Jack,https://www.leafly.com/hybrid/critical-jack
Relaxed; Happy; Creative; Uplifted; Sleepy,Critical Plus,https://www.leafly.com/hybrid/critical-plus
Happy; Relaxed; Creative; Uplifted; Aroused,Critical Skunk,https://www.leafly.com/hybrid/critical-skunk
Uplifted; Euphoric; Happy; Relaxed; Energetic,Critical Widow,https://www.leafly.com/hybrid/critical-widow
Euphoric; Relaxed; Happy; Creative; Dry Mouth,Crunch Berry Kush,https://www.leafly.com/hybrid/crunch-berry-kush
