effects,name,pageUrl
Effects Medical Negatives Relaxed Happy Euphoric Sleepy Uplifted Stress Insomnia Pain Depression Lack of Appetite Dry Eyes Dry Mouth Dizzy Anxious,Black Tuna,https://www.leafly.com/hybrid/black-tuna
Effects Medical Negatives Relaxed Happy Giggly Sleepy Hungry Nausea Lack of Appetite Pain Depression Eye Pressure Dry Eyes Dry Mouth,Black Velvet,https://www.leafly.com/hybrid/black-velvet
Effects Medical Negatives Relaxed Happy Euphoric Uplifted Creative Pain Stress Nausea Depression Fatigue Dry Mouth Dizzy Dry Eyes Headache Paranoid,Black Widow,https://www.leafly.com/hybrid/black-widow
Effects Medical Negatives Relaxed Euphoric Happy Uplifted Sleepy Stress Pain Depression Insomnia Lack of Appetite Dry Mouth Dry Eyes Dizzy Headache Paranoid,Blackberry,https://www.leafly.com/hybrid/blackberry
Effects Medical Negatives Relaxed Happy Creative Euphoric Uplifted Cramps Depression Headaches Inflammation Pain Dizzy,Blackberry Trainwreck,https://www.leafly.com/hybrid/blackberry-trainwreck
Effects Medical Euphoric Relaxed Uplifted Creative Hungry Stress Fatigue Depression Headaches Lack of Appetite,Blissful Wizard,https://www.leafly.com/hybrid/blissful-wizard
Effects Medical Negatives Sleepy Relaxed Giggly Euphoric Happy Insomnia Pain Lack of Appetite Stress Depression Dry Mouth Dizzy Dry Eyes Headache Paranoid,Blockhead,https://www.leafly.com/hybrid/blockhead
Effects Medical Negatives Relaxed Euphoric Focused Happy Uplifted Stress Pain Insomnia Depression Muscle Spasms Dry Mouth,Blowfish,https://www.leafly.com/hybrid/blowfish
Effects Medical Negatives Happy Energetic Dry Mouth Relaxed Hungry Stress Pain Depression Fatigue Insomnia Headache Anxious Dry Eyes Dry Mouth Paranoid,Blue Boy,https://www.leafly.com/hybrid/blue-boy
Effects Medical Negatives Happy Euphoric Creative Uplifted Relaxed Depression Nausea Pain Stress Insomnia Dry Mouth Dry Eyes Paranoid Dizzy Headache,Blue Champagne,https://www.leafly.com/hybrid/blue-champange
Effects Medical Negatives Relaxed Euphoric Happy Sleepy Uplifted Pain Stress Insomnia Lack of Appetite Depression Anxious Dry Mouth Paranoid,Blue Cookies,https://www.leafly.com/hybrid/blue-cookies
Effects Medical Negatives Happy Uplifted Euphoric Relaxed Creative Stress Pain Fatigue Insomnia Lack of Appetite Dry Mouth Dry Eyes Dizzy Paranoid Headache,Blue Crack,https://www.leafly.com/hybrid/blue-crack
Effects Medical Negatives Relaxed Uplifted Happy Euphoric Creative Stress Depression Pain Lack of Appetite Headaches Dry Mouth Dizzy Dry Eyes Headache Anxious,Blue Diesel,https://www.leafly.com/hybrid/blue-diesel
Effects Medical Negatives Happy Euphoric Uplifted Relaxed Creative Stress Pain Depression Nausea Headaches Dry Mouth Dry Eyes Paranoid Dizzy Anxious,Blue Dragon,https://www.leafly.com/hybrid/blue-dragon
Effects Medical Negatives Happy Relaxed Uplifted Euphoric Creative Stress Depression Pain Insomnia Headaches Dry Mouth Dry Eyes Paranoid Dizzy Anxious,Blue Dream,https://www.leafly.com/hybrid/blue-dream
Effects Medical Negatives Relaxed Euphoric Happy Uplifted Giggly Stress Pain Depression Muscle Spasms Insomnia Dry Mouth,Blue Frost,https://www.leafly.com/hybrid/blue-frost
Effects Medical Negatives Happy Relaxed Focused Uplifted Euphoric Stress Headaches Depression Muscle Spasms Pain Dry Mouth Dry Eyes Headache Paranoid Dizzy,Blue Goo,https://www.leafly.com/hybrid/blue-goo
Effects Medical Negatives Relaxed Happy Euphoric Sleepy Hungry Stress Lack of Appetite Insomnia Depression Pain Dry Mouth Dry Eyes Dizzy Paranoid Headache,Blue Hash,https://www.leafly.com/hybrid/blue-hash
Effects Medical Negatives Happy Relaxed Uplifted Euphoric Focused Stress Pain Depression Insomnia Inflammation Dry Eyes Dry Mouth Headache Paranoid Dizzy,Blue Hawaiian,https://www.leafly.com/hybrid/blue-hawaiian
Effects Medical Negatives Happy Uplifted Euphoric Relaxed Focused Stress Pain Depression Nausea Muscle Spasms Dry Mouth Anxious Dry Eyes Paranoid Dizzy,Blue Haze,https://www.leafly.com/hybrid/blue-haze
Effects Medical Relaxed Hungry Sleepy Insomnia Pain Stress,Blue Heron,https://www.leafly.com/hybrid/blue-heron
Effects Medical Negatives Happy Relaxed Giggly Energetic Euphoric Stress Depression Lack of Appetite Insomnia Headaches Dry Mouth Dry Eyes Paranoid Dizzy,Blue Ivy,https://www.leafly.com/hybrid/blue-ivy
Effects Medical Negatives Happy Relaxed Creative Uplifted Euphoric Stress Depression Fatigue Headaches Lack of Appetite Dizzy Dry Eyes Dry Mouth,Blue Kush,https://www.leafly.com/hybrid/blue-kush
Effects Medical Negatives Relaxed Happy Euphoric Uplifted Sleepy Pain Stress Depression Nausea Insomnia Dry Mouth Anxious Dry Eyes Dizzy,Blue Magoo,https://www.leafly.com/hybrid/blue-magoo
Effects Medical Negatives Euphoric Relaxed Uplifted Happy Creative Depression Insomnia Stress Pain Nausea Dry Mouth Anxious Paranoid,Blue Moon Rocks,https://www.leafly.com/hybrid/blue-moon-rocks
Effects Medical Negatives Happy Relaxed Creative Euphoric Giggly Depression Nausea Headaches Insomnia Lack of Appetite Dry Mouth Paranoid,Blue Nightmare,https://www.leafly.com/hybrid/blue-nightmare
Effects Medical Negatives Relaxed Happy Uplifted Euphoric Hungry Stress Depression Pain Lack of Appetite Insomnia Dry Mouth Dry Eyes Dizzy Headache Anxious,Blue OG,https://www.leafly.com/hybrid/blue-og
Effects Relaxed Hungry Tingly Happy Sleepy,Blue Persuasion,https://www.leafly.com/hybrid/blue-persuasion
Effects Medical Negatives Relaxed Sleepy Happy Euphoric Uplifted Muscle Spasms Stress Pain Depression Insomnia Dry Mouth Dry Eyes Headache Dizzy Anxious,Blue Rhino,https://www.leafly.com/hybrid/blue-rhino
